"length","C","T1","T2","T3","Tm","pHt"
15,3,1,1,1,57.8,6.22
18,3,2,2,2,53.2,6.16
21,3,3,3,3,56.9,6.22
24,3,4,4,4,58.8,6.27
16,3,1,1,2,53.5,6.11
16,3,1,2,1,58,6.3
16,3,2,1,1,54.5,6.12
17,3,1,1,3,54.9,6.15
17,3,1,3,1,54.3,6.2
17,3,3,1,1,58.3,6.1
18,3,1,1,4,54.3,6.24
18,3,1,4,1,59.2,6.11
18,3,4,1,1,54.3,6.12
19,3,1,1,5,52.2,6.07
19,3,1,5,1,57.5,6.11
19,3,5,1,1,51.7,6.03
20,3,1,1,6,50.3,6.24
20,3,1,6,1,57,6
20,3,6,1,1,50,6
17,3,2,2,1,54.6,6.07
17,3,2,1,2,54.9,6.05
17,3,1,2,2,54.6,6.07
19,3,2,2,3,52.5,6.13
19,3,2,3,2,57.3,6.04
19,3,3,2,2,53.7,6.07
20,3,2,2,4,52.2,5.97
20,3,2,4,2,59.1,6.07
20,3,4,2,2,53.3,6
21,3,2,2,5,48.3,5.96
21,3,2,5,2,58.3,6.16
21,3,5,2,2,49.5,5.98
22,3,2,2,6,48,6.02
22,3,2,6,2,57.1,6.16
22,3,6,2,2,48.8,5.97
19,3,3,3,1,56.4,6.09
19,3,3,1,3,53.2,6.08
19,3,1,3,3,56.7,6.14
20,3,3,3,2,59.1,6.16
20,3,3,2,3,55.3,6.05
20,3,2,3,3,58.7,6.08
22,3,3,3,4,56.6,6.23
22,3,3,4,3,57.6,6.23
22,3,4,3,3,57,6.21
23,3,3,3,5,55.5,6.12
23,3,3,5,3,57.5,6.16
23,3,5,3,3,55.6,6.1
24,3,3,3,6,52.6,6.11
24,3,3,6,3,56.1,6.15
24,3,6,3,3,53,6.08
19,4,1,1,1,66.4,6.44
22,4,2,2,2,66,6.28
25,4,3,3,3,68,6.45
28,4,4,4,4,68.6,6.52
20,4,1,1,2,64,6.42
20,4,1,2,1,67,6.52
20,4,2,1,1,65,6.48
21,4,1,1,3,65.5,6.33
21,4,1,3,1,68.5,6.35
21,4,3,1,1,65.6,6.38
22,4,1,1,4,62.1,6.49
22,4,1,4,1,68.6,6.32
22,4,4,1,1,63.3,6.4
23,4,1,1,5,62.5,6.35
23,4,1,5,1,68.8,6.41
23,4,5,1,1,60.7,6.3
24,4,1,1,6,59,6.24
24,4,1,6,1,66.5,6.38
24,4,6,1,1,59.7,6.25
21,4,2,2,1,67.6,6.34
21,4,2,1,2,65,6.29
21,4,1,2,2,67.4,6.37
23,4,2,2,3,64.9,6.38
23,4,2,3,2,67.4,6.39
23,4,3,2,2,67.5,6.33
24,4,2,2,4,65.2,6.33
24,4,2,4,2,68.5,6.4
24,4,4,2,2,66.2,6.37
25,4,2,2,5,60.6,6.3
25,4,2,5,2,67.4,6.41
25,4,5,2,2,63.1,6.33
26,4,2,2,6,61.6,6.27
26,4,2,6,2,68.4,6.35
26,4,6,2,2,63.1,6.27
23,4,3,3,1,67.2,6.43
23,4,3,1,3,67.4,6.3
23,4,1,3,3,64.4,6.38
24,4,3,3,2,69.5,6.42
24,4,3,2,3,66.9,6.39
24,4,2,3,3,69.7,6.41
26,4,3,3,4,66.4,6.53
26,4,3,4,3,67.1,6.59
26,4,4,3,3,66.7,6.53
27,4,3,3,5,66.2,6.44
27,4,3,5,3,67.6,6.5
27,4,5,3,3,67.1,6.43
28,4,3,3,6,65.7,6.39
28,4,3,6,3,66.7,6.49
28,4,6,3,3,66.4,6.39
23,5,1,1,1,72,6.48
26,5,2,2,2,73.3,6.58
29,5,3,3,3,73.4,6.68
32,5,4,4,4,73.4,6.71
24,5,1,1,2,71.1,6.51
24,5,1,2,1,73.6,6.56
24,5,2,1,1,71.9,6.5
25,5,1,1,3,74.4,6.56
25,5,1,3,1,74.7,6.58
25,5,3,1,1,73.9,6.5
26,5,1,1,4,69.5,6.52
26,5,1,4,1,74.2,6.6
26,5,4,1,1,70.6,6.47
27,5,1,1,5,69.3,6.4
27,5,1,5,1,74.4,6.6
27,5,5,1,1,70.5,6.45
28,5,1,1,6,66.6,6.45
28,5,1,6,1,73.1,6.6
28,5,6,1,1,68,6.45
25,5,2,2,1,76.3,6.56
25,5,2,1,2,74.3,6.52
25,5,1,2,2,75.7,6.55
27,5,2,2,3,72.3,6.62
27,5,2,3,2,74,6.57
27,5,3,2,2,73.2,6.58
28,5,2,2,4,72.8,6.59
28,5,2,4,2,74.7,6.6
28,5,4,2,2,74.2,6.58
29,5,2,2,5,69.1,6.55
29,5,2,5,2,73.4,6.59
29,5,5,2,2,70.5,6.53
30,5,2,2,6,70.8,6.5
30,5,2,6,2,73.7,6.59
30,5,6,2,2,66.5,6.5
27,5,3,3,1,73.5,6.5
27,5,3,1,3,71.8,6.47
27,5,1,3,3,73.7,6.5
28,5,3,3,2,75.4,6.54
28,5,3,2,3,73.7,6.6
28,5,2,3,3,76.5,6.62
30,5,3,3,4,72.3,6.69
30,5,3,4,3,73.5,6.67
30,5,4,3,3,73.2,6.67
31,5,3,3,5,73,6.57
31,5,3,5,3,73.5,6.65
31,5,5,3,3,73.1,6.62
32,5,3,3,6,69.2,6.57
32,5,3,6,3,71.2,6.63
32,5,6,3,3,69.7,6.56
27,6,1,1,1,77.5,6.64
30,6,2,2,2,78.2,6.68
33,6,3,3,3,77.9,6.76
36,6,4,4,4,75.3,6.75
28,6,1,1,2,76.9,6.64
28,6,1,2,1,79.1,6.66
28,6,2,1,1,77.9,6.59
29,6,1,1,3,77.9,6.6
29,6,1,3,1,79.4,6.67
29,6,3,1,1,77.9,6.64
30,6,1,1,4,75.2,6.47
30,6,1,4,1,78.1,6.67
30,6,4,1,1,76.2,6.6
31,6,1,1,5,76.5,6.58
31,6,1,5,1,78.7,6.66
31,6,5,1,1,76,6.54
32,6,1,1,6,73.1,6.54
32,6,1,6,1,77.4,6.62
32,6,6,1,1,74.1,6.54
29,6,2,2,1,81.9,6.67
29,6,2,1,2,78.7,6.67
29,6,1,2,2,79.8,6.69
31,6,2,2,3,77.5,6.66
31,6,2,3,2,78.4,6.74
31,6,3,2,2,78.4,6.74
32,6,2,2,4,77.1,6.74
32,6,2,4,2,79.1,6.74
32,6,4,2,2,78.4,6.78
33,6,2,2,5,75.1,6.59
33,6,2,5,2,77.2,6.68
33,6,5,2,2,76.1,6.63
34,6,2,2,6,75,6.64
34,6,2,6,2,77.3,6.67
34,6,6,2,2,76,6.65
31,6,3,3,1,78.4,6.74
31,6,3,1,3,76.4,6.71
31,6,1,3,3,78.4,6.73
32,6,3,3,2,78.6,6.72
32,6,3,2,3,78.3,6.73
32,6,2,3,3,79.1,6.7
34,6,3,3,4,76.5,6.74
34,6,3,4,3,77.3,6.74
34,6,4,3,3,77,6.7
35,6,3,3,5,76.1,6.74
35,6,3,5,3,77.4,6.77
35,6,5,3,3,77.4,6.71
36,6,3,3,6,74.6,6.76
36,6,3,6,3,75.8,6.9
36,6,6,3,3,75.5,6.78
